datum;badid;bad;adresse1;adresse2;ort;plz;kanton;beckenid;becken;typ;temperatur
2004-01-02 01:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.2
2004-01-02 01:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 02:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.2
2004-01-02 02:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 02:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;4.8
2004-01-02 03:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.1
2004-01-02 03:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 03:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.5
2004-01-02 03:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;6
2004-01-02 03:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.3
2004-01-02 03:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3.1
2004-01-02 03:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.2
2004-01-02 03:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 04:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.1
2004-01-02 04:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 05:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.1
2004-01-02 05:00:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;4.8
2004-01-02 05:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 05:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.5
2004-01-02 05:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;6
2004-01-02 05:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.3
2004-01-02 05:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3.1
2004-01-02 05:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.1
2004-01-02 05:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 06:10:03;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.1
2004-01-02 06:10:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 06:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;4.8
2004-01-02 07:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.1
2004-01-02 07:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 07:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.5
2004-01-02 07:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;6
2004-01-02 07:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.5
2004-01-02 07:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3
2004-01-02 07:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5
2004-01-02 07:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 07:46:04;25;Frei- und Hallenbad;Frei- und Hallenbad Herzogenbuchsee;Eigenweg 10;Herzogenbuchsee;3360;BE;78;Hallenbad;Hallenbad;28
2004-01-02 08:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5
2004-01-02 08:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 08:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;4.8
2004-01-02 09:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.1
2004-01-02 09:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 09:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.5
2004-01-02 09:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;5.9
2004-01-02 09:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.5
2004-01-02 09:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3
2004-01-02 09:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5
2004-01-02 09:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 10:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5
2004-01-02 10:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 10:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;4.8
2004-01-02 11:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.1
2004-01-02 11:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 11:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.5
2004-01-02 11:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;5.9
2004-01-02 11:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.5
2004-01-02 11:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3.3
2004-01-02 11:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5
2004-01-02 11:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 12:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.2
2004-01-02 12:10:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 12:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;5
2004-01-02 13:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.2
2004-01-02 13:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;6
2004-01-02 13:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.6
2004-01-02 13:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;6.1
2004-01-02 13:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.6
2004-01-02 13:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3.6
2004-01-02 13:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.3
2004-01-02 13:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 14:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.4
2004-01-02 14:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 14:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;5.1
2004-01-02 15:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.2
2004-01-02 15:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 15:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.6
2004-01-02 15:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;6.4
2004-01-02 15:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.6
2004-01-02 15:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3.9
2004-01-02 15:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.3
2004-01-02 15:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 16:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.4
2004-01-02 16:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 16:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;5
2004-01-02 17:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.1
2004-01-02 17:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 17:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.6
2004-01-02 17:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;6.4
2004-01-02 17:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.6
2004-01-02 17:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3.8
2004-01-02 17:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.4
2004-01-02 17:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 18:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.3
2004-01-02 18:10:01;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 18:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;4.9
2004-01-02 19:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.1
2004-01-02 19:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 19:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.6
2004-01-02 19:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;6.3
2004-01-02 19:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.6
2004-01-02 19:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3.8
2004-01-02 19:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.3
2004-01-02 19:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 20:10:02;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.3
2004-01-02 20:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 20:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;4.7
2004-01-02 21:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.1
2004-01-02 21:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 21:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.5
2004-01-02 21:00:00;17;Stadt Bern;;;Bern;3000;BE;52;Aare Marzili;Fluss;6.1
2004-01-02 21:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.6
2004-01-02 21:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3.6
2004-01-02 21:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.3
2004-01-02 21:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 22:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.2
2004-01-02 22:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-02 22:50:00;48;Reuss;;;Mellingen;5507;AG;133;Reuss;Fluss;4.5
2004-01-02 23:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5
2004-01-02 23:00:00;47;Reuss;;;Luzern;6000;LU;132;Reuss;Fluss;5.9
2004-01-02 23:00:00;49;Rhein;;;Basel / Weil;4053;BS;134;Rhein;Fluss;5.5
2004-01-02 23:10:00;7;Badebetriebe Thun;Strandbad Thun;Strandbadweg 10;Thun;3604;BE;98;Flussbad Schwäbis (Aare);Fluss;6.6
2004-01-02 23:10:00;43;Emme;;;Emmenmatt;3543;BE;128;Emme;Fluss;3.3
2004-01-02 23:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.2
2004-01-02 23:10:03;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-03 00:10:01;14;Zürichsee;;;Zürich;;ZH;44;Mythenquai;See;5.2
2004-01-03 00:10:02;14;Zürichsee;;;Zürich;;ZH;43;Tiefenbrunnen;See;5.7
2004-01-03 01:00:00;44;Aare;;;Brugg;5200;AG;129;Aare;Fluss;5.1
